date,Depth,Variables,Values
2021-01-15T09:54:30Z,-0.009,Temperature,29.16
2021-01-15T09:54:30Z,-0.009,Salinity,34.87083632
2021-01-15T09:54:30Z,-0.009,AbsPressure,101.686
2021-01-15T09:54:40Z,-0.015,Temperature,29.19
2021-01-15T09:54:40Z,-0.015,Salinity,34.75244452
2021-01-15T09:54:40Z,-0.015,AbsPressure,101.617
2021-01-15T09:54:50Z,-0.003,Temperature,29.14
2021-01-15T09:54:50Z,-0.003,Salinity,34.75444554
2021-01-15T09:54:50Z,-0.003,AbsPressure,101.737
2021-01-15T09:55:00Z,0,Temperature,29.15
2021-01-15T09:55:00Z,0,Salinity,34.69571793
2021-01-15T09:55:00Z,0,AbsPressure,101.772
2021-01-15T09:55:10Z,-0.015,Temperature,29.16
2021-01-15T09:55:10Z,-0.015,Salinity,34.6200643
2021-01-15T09:55:10Z,-0.015,AbsPressure,101.617
2021-01-15T09:55:20Z,0.044,Temperature,29.19
2021-01-15T09:55:20Z,0.044,Salinity,34.48609131
2021-01-15T09:55:20Z,0.044,AbsPressure,102.219
2021-01-15T09:55:30Z,-0.019,Temperature,29.2
2021-01-15T09:55:30Z,-0.019,Salinity,34.49583116
2021-01-15T09:55:30Z,-0.019,AbsPressure,101.583
2021-01-15T09:55:40Z,-0.027,Temperature,29.17
2021-01-15T09:55:40Z,-0.027,Salinity,34.54809162
2021-01-15T09:55:40Z,-0.027,AbsPressure,101.497
2021-01-15T09:55:50Z,-0.015,Temperature,29.17
2021-01-15T09:55:50Z,-0.015,Salinity,34.48010693
2021-01-15T09:55:50Z,-0.015,AbsPressure,101.617
2021-01-15T09:56:00Z,0.277,Temperature,29.17
2021-01-15T09:56:00Z,0.277,Salinity,34.49034897
2021-01-15T09:56:00Z,0.277,AbsPressure,104.561
2021-01-15T09:56:10Z,0.238,Temperature,29.17
2021-01-15T09:56:10Z,0.238,Salinity,34.48355168
2021-01-15T09:56:10Z,0.238,AbsPressure,104.164
2021-01-15T09:56:20Z,0.264,Temperature,29.14
2021-01-15T09:56:20Z,0.264,Salinity,34.48821309
2021-01-15T09:56:20Z,0.264,AbsPressure,104.423
2021-01-15T09:56:30Z,0.233,Temperature,29.15
2021-01-15T09:56:30Z,0.233,Salinity,34.47420813
2021-01-15T09:56:30Z,0.233,AbsPressure,104.113
2021-01-15T09:56:40Z,0.26,Temperature,29.15
2021-01-15T09:56:40Z,0.26,Salinity,34.48436294
2021-01-15T09:56:40Z,0.26,AbsPressure,104.388
2021-01-15T09:56:50Z,0.245,Temperature,29.14
2021-01-15T09:56:50Z,0.245,Salinity,34.43399139
2021-01-15T09:56:50Z,0.245,AbsPressure,104.233
2021-01-15T09:57:00Z,0.257,Temperature,29.15
2021-01-15T09:57:00Z,0.257,Salinity,34.40984842
2021-01-15T09:57:00Z,0.257,AbsPressure,104.354
2021-01-15T09:57:10Z,0.245,Temperature,29.15
2021-01-15T09:57:10Z,0.245,Salinity,34.37604449
2021-01-15T09:57:10Z,0.245,AbsPressure,104.233
2021-01-15T09:57:20Z,0.269,Temperature,29.15
2021-01-15T09:57:20Z,0.269,Salinity,34.369339
2021-01-15T09:57:20Z,0.269,AbsPressure,104.474
2021-01-15T09:57:30Z,0.255,Temperature,29.14
2021-01-15T09:57:30Z,0.255,Salinity,34.36981377
2021-01-15T09:57:30Z,0.255,AbsPressure,104.337
2021-01-15T09:57:40Z,0.283,Temperature,29.15
2021-01-15T09:57:40Z,0.283,Salinity,34.36598685
2021-01-15T09:57:40Z,0.283,AbsPressure,104.612
2021-01-15T09:57:50Z,0.317,Temperature,29.15
2021-01-15T09:57:50Z,0.317,Salinity,34.34913318
2021-01-15T09:57:50Z,0.317,AbsPressure,104.957
2021-01-15T09:58:00Z,0.298,Temperature,29.16
2021-01-15T09:58:00Z,0.298,Salinity,34.30155959
2021-01-15T09:58:00Z,0.298,AbsPressure,104.767
2021-01-15T09:58:10Z,0.308,Temperature,29.14
2021-01-15T09:58:10Z,0.308,Salinity,34.32595249
2021-01-15T09:58:10Z,0.308,AbsPressure,104.871
2021-01-15T09:58:20Z,0.298,Temperature,29.14
2021-01-15T09:58:20Z,0.298,Salinity,34.35966467
2021-01-15T09:58:20Z,0.298,AbsPressure,104.767
2021-01-15T09:58:30Z,0.3,Temperature,29.12
2021-01-15T09:58:30Z,0.3,Salinity,34.34365628
2021-01-15T09:58:30Z,0.3,AbsPressure,104.784
2021-01-15T09:58:40Z,0.283,Temperature,29.12
2021-01-15T09:58:40Z,0.283,Salinity,34.41456174
2021-01-15T09:58:40Z,0.283,AbsPressure,104.612
2021-01-15T09:58:50Z,0.274,Temperature,29.12
2021-01-15T09:58:50Z,0.274,Salinity,34.39760437
2021-01-15T09:58:50Z,0.274,AbsPressure,104.526
2021-01-15T09:59:00Z,0.259,Temperature,29.14
2021-01-15T09:59:00Z,0.259,Salinity,34.34280948
2021-01-15T09:59:00Z,0.259,AbsPressure,104.371
2021-01-15T09:59:10Z,0.238,Temperature,29.12
2021-01-15T09:59:10Z,0.238,Salinity,34.38418495
2021-01-15T09:59:10Z,0.238,AbsPressure,104.164
2021-01-15T09:59:20Z,0.25,Temperature,29.12
2021-01-15T09:59:20Z,0.25,Salinity,34.34365802
2021-01-15T09:59:20Z,0.25,AbsPressure,104.285
2021-01-15T09:59:30Z,0.303,Temperature,29.12
2021-01-15T09:59:30Z,0.303,Salinity,34.39760577
2021-01-15T09:59:30Z,0.303,AbsPressure,104.819
2021-01-15T09:59:40Z,0.26,Temperature,29.12
2021-01-15T09:59:40Z,0.26,Salinity,34.33695024
2021-01-15T09:59:40Z,0.26,AbsPressure,104.388
2021-01-15T09:59:50Z,0.283,Temperature,29.14
2021-01-15T09:59:50Z,0.283,Salinity,34.383233
2021-01-15T09:59:50Z,0.283,AbsPressure,104.612
2021-01-15T10:00:00Z,0.241,Temperature,29.12
2021-01-15T10:00:00Z,0.241,Salinity,34.35716765
2021-01-15T10:00:00Z,0.241,AbsPressure,104.199
2021-01-15T10:00:10Z,0.25,Temperature,29.14
2021-01-15T10:00:10Z,0.25,Salinity,34.31925118
2021-01-15T10:00:10Z,0.25,AbsPressure,104.285
2021-01-15T10:00:20Z,0.257,Temperature,29.14
2021-01-15T10:00:20Z,0.257,Salinity,34.29234112
2021-01-15T10:00:20Z,0.257,AbsPressure,104.354
2021-01-15T10:00:30Z,0.277,Temperature,29.14
2021-01-15T10:00:30Z,0.277,Salinity,34.33945958
2021-01-15T10:00:30Z,0.277,AbsPressure,104.561
2021-01-15T10:00:40Z,0.277,Temperature,29.12
2021-01-15T10:00:40Z,0.277,Salinity,34.32009144
2021-01-15T10:00:40Z,0.277,AbsPressure,104.561
2021-01-15T10:00:50Z,0.276,Temperature,29.12
2021-01-15T10:00:50Z,0.276,Salinity,34.32009178
2021-01-15T10:00:50Z,0.276,AbsPressure,104.546
2021-01-15T10:01:00Z,0.298,Temperature,29.12
2021-01-15T10:01:00Z,0.298,Salinity,34.33024477
2021-01-15T10:01:00Z,0.298,AbsPressure,104.77
2021-01-15T10:01:10Z,0.286,Temperature,29.14
2021-01-15T10:01:10Z,0.286,Salinity,34.31590061
2021-01-15T10:01:10Z,0.286,AbsPressure,104.649
2021-01-15T10:01:20Z,0.293,Temperature,29.11
2021-01-15T10:01:20Z,0.293,Salinity,34.33062136
2021-01-15T10:01:20Z,0.293,AbsPressure,104.718
2021-01-15T10:01:30Z,0.278,Temperature,29.12
2021-01-15T10:01:30Z,0.278,Salinity,34.31003166
2021-01-15T10:01:30Z,0.278,AbsPressure,104.563
2021-01-15T10:01:40Z,0.259,Temperature,29.1
2021-01-15T10:01:40Z,0.259,Salinity,34.33444378
2021-01-15T10:01:40Z,0.259,AbsPressure,104.374
2021-01-15T10:01:50Z,0.293,Temperature,29.09
2021-01-15T10:01:50Z,0.293,Salinity,34.34162304
2021-01-15T10:01:50Z,0.293,AbsPressure,104.718
2021-01-15T10:02:00Z,0.283,Temperature,29.11
2021-01-15T10:02:00Z,0.283,Salinity,34.33742291
2021-01-15T10:02:00Z,0.283,AbsPressure,104.615
2021-01-15T10:02:10Z,0.25,Temperature,29.11
2021-01-15T10:02:10Z,0.25,Salinity,34.30378726
2021-01-15T10:02:10Z,0.25,AbsPressure,104.288
2021-01-15T10:02:20Z,0.295,Temperature,29.11
2021-01-15T10:02:20Z,0.295,Salinity,34.24668204
2021-01-15T10:02:20Z,0.295,AbsPressure,104.735
2021-01-15T10:02:30Z,0.252,Temperature,29.11
2021-01-15T10:02:30Z,0.252,Salinity,34.29707952
2021-01-15T10:02:30Z,0.252,AbsPressure,104.305
2021-01-15T10:02:40Z,0.252,Temperature,29.14
2021-01-15T10:02:40Z,0.252,Salinity,34.24532887
2021-01-15T10:02:40Z,0.252,AbsPressure,104.305
2021-01-15T10:02:50Z,0.213,Temperature,29.16
2021-01-15T10:02:50Z,0.213,Salinity,34.19752693
2021-01-15T10:02:50Z,0.213,AbsPressure,103.909
2021-01-15T10:03:00Z,0.237,Temperature,29.16
2021-01-15T10:03:00Z,0.237,Salinity,34.20757619
2021-01-15T10:03:00Z,0.237,AbsPressure,104.15
2021-01-15T10:03:10Z,0.233,Temperature,29.17
2021-01-15T10:03:10Z,0.233,Salinity,34.2004333
2021-01-15T10:03:10Z,0.233,AbsPressure,104.115
2021-01-15T10:03:20Z,0.238,Temperature,29.16
2021-01-15T10:03:20Z,0.238,Salinity,34.16077655
2021-01-15T10:03:20Z,0.238,AbsPressure,104.167
2021-01-15T10:03:30Z,0.252,Temperature,29.15
2021-01-15T10:03:30Z,0.252,Salinity,34.21807344
2021-01-15T10:03:30Z,0.252,AbsPressure,104.305
2021-01-15T10:03:40Z,0.247,Temperature,29.15
2021-01-15T10:03:40Z,0.247,Salinity,34.21807378
2021-01-15T10:03:40Z,0.247,AbsPressure,104.253
2021-01-15T10:03:50Z,0.286,Temperature,29.15
2021-01-15T10:03:50Z,0.286,Salinity,34.20132235
2021-01-15T10:03:50Z,0.286,AbsPressure,104.649
2021-01-15T10:04:00Z,0.262,Temperature,29.15
